"","Date","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1",2015-07-15,560.13,566.5029,556.79,560.22,1753579,0,1,560.13,566.5029,556.79,560.22,1753579
"2",2015-07-14,546.76,565.8487,546.71,561.1,3216561,0,1,546.76,565.8487,546.71,561.1,3216561
"3",2015-07-10,526.29,532.56,525.55,530.13,1848983,0,1,526.29,532.56,525.55,530.13,1848983
"4",2015-07-09,523.12,523.77,520.35,520.68,1837601,0,1,523.12,523.77,520.35,520.68,1837601
"5",2015-07-08,521.05,522.734,516.11,516.83,1250192,0,1,521.05,522.734,516.11,516.83,1250192
"6",2015-07-07,523.13,526.18,515.18,525.02,1582845,0,1,523.13,526.18,515.18,525.02,1582845
"7",2015-07-06,519.5,525.25,519,522.97,1274527,0,1,519.5,525.25,519,522.97,1274527
"8",2015-07-02,521.08,524.65,521.08,523.4,1225046,0,1,521.08,524.65,521.08,523.4,1225046
"9",2015-07-01,524.73,525.69,518.2305,521.84,1946467,0,1,524.73,525.69,518.2305,521.84,1946467
"10",2015-06-30,526.02,526.25,520.5,520.51,2211793,0,1,526.02,526.25,520.5,520.51,2211793
"11",2015-06-29,525.01,528.61,520.54,521.52,1927006,0,1,525.01,528.61,520.54,521.52,1927006
"12",2015-06-26,537.26,537.76,531.35,531.69,1726179,0,1,537.26,537.76,531.35,531.69,1726179
"13",2015-06-25,538.87,540.9,535.23,535.23,1326237,0,1,538.87,540.9,535.23,535.23,1326237
"14",2015-06-24,540,540,535.66,537.84,1273945,0,1,540,540,535.66,537.84,1273945
"15",2015-06-23,539.64,541.499,535.25,540.48,1187333,0,1,539.64,541.499,535.25,540.48,1187333
"16",2015-06-22,539.59,543.74,537.53,538.19,1225050,0,1,539.59,543.74,537.53,538.19,1225050
"17",2015-06-19,537.21,538.25,533.01,536.69,1760178,0,1,537.21,538.25,533.01,536.69,1760178
"18",2015-06-18,531,538.15,530.79,536.73,1821678,0,1,531,538.15,530.79,536.73,1821678
"19",2015-06-17,529.37,530.98,525.1,529.26,1253899,0,1,529.37,530.98,525.1,529.26,1253899
"20",2015-06-16,528.4,529.6399,525.56,528.15,1059953,0,1,528.4,529.6399,525.56,528.15,1059953
"21",2015-06-15,528,528.3,524,527.2,1614412,0,1,528,528.3,524,527.2,1614412
"22",2015-06-12,531.6,533.12,530.16,532.33,955789,0,1,531.6,533.12,530.16,532.33,955789
"23",2015-06-11,538.425,538.98,533.02,534.61,1217536,0,1,538.425,538.98,533.02,534.61,1217536
"24",2015-06-10,529.36,538.36,529.35,536.69,1814958,0,1,529.36,538.36,529.35,536.69,1814958
"25",2015-06-09,527.56,529.2,523.01,526.69,1455266,0,1,527.56,529.2,523.01,526.69,1455266
"26",2015-06-08,533.31,534.12,526.24,526.83,1511162,0,1,533.31,534.12,526.24,526.83,1511162
"27",2015-06-05,536.35,537.2,532.52,533.33,1361604,0,1,536.35,537.2,532.52,533.33,1361604
"28",2015-06-04,537.76,540.59,534.32,537.06,1333103,0,1,537.76,540.59,534.32,537.06,1333103
"29",2015-06-03,539.91,543.5,537.11,540.31,1691752,0,1,539.91,543.5,537.11,540.31,1691752
"30",2015-06-02,532.93,543,531.33,539.18,1932201,0,1,532.93,543,531.33,539.18,1932201
"31",2015-06-01,536.79,536.79,529.76,533.99,1870811,0,1,536.79,536.79,529.76,533.99,1870811
"32",2015-05-29,537.37,538.63,531.45,532.11,2403377,0,1,537.37,538.63,531.45,532.11,2403377
"33",2015-05-28,538.01,540.61,536.25,539.78,1015032,0,1,538.01,540.61,536.25,539.78,1015032
"34",2015-05-27,532.8,540.55,531.71,539.79,1370607,0,1,532.8,540.55,531.71,539.79,1370607
"35",2015-05-26,538.12,539,529.88,532.32,2397742,0,1,538.12,539,529.88,532.32,2397742
"36",2015-05-22,540.15,544.19,539.51,540.11,1165201,0,1,540.15,544.19,539.51,540.11,1165201
"37",2015-05-21,537.95,543.8399,535.98,542.87,1432863,0,1,537.95,543.8399,535.98,542.87,1432863
"38",2015-05-20,538.49,542.92,532.972,539.27,1411038,0,1,538.49,542.92,532.972,539.27,1411038
"39",2015-05-19,533.98,540.66,533.04,537.36,1951626,0,1,533.98,540.66,533.04,537.36,1951626
"40",2015-05-18,532.01,534.82,528.85,532.3,1993467,0,1,532.01,534.82,528.85,532.3,1993467
"41",2015-05-15,539.18,539.2743,530.38,533.85,1953022,0,1,539.18,539.2743,530.38,533.85,1953022
"42",2015-05-14,533.77,539,532.41,538.4,1403935,0,1,533.77,539,532.41,538.4,1403935
"43",2015-05-13,530.56,534.3215,528.655,529.62,1239567,0,1,530.56,534.3215,528.655,529.62,1239567
"44",2015-05-12,531.6,533.2089,525.26,529.04,1634174,0,1,531.6,533.2089,525.26,529.04,1634174
"45",2015-05-11,538.37,541.98,535.4,535.7,905285,0,1,538.37,541.98,535.4,535.7,905285
"46",2015-05-08,536.65,541.15,536,538.22,1527615,0,1,536.65,541.15,536,538.22,1527615
"47",2015-05-07,523.99,533.46,521.75,530.7,1546278,0,1,523.99,533.46,521.75,530.7,1546278
"48",2015-05-06,531.24,532.38,521.085,524.22,1566987,0,1,531.24,532.38,521.085,524.22,1566987
